name,start_date,year,counties,acres,last_updated,date_started,date_contained,cause,destroyed,fatalities,lat,lon
Morgan Fire,2013-09-08,2013,Contra Costa,3111.0,09/14/13 5:30 PM,09/08/13 1:08 PM,09/14/13 5:30PM,Under Investigation,0,0,37.90757,-121.882582
Clover Fire,2013-09-09,2013,Shasta,8073.0,09/15/13 7:30 AM,09/09/13 12:32 PM,09/15/13 7:30AM,Under Investigation,201,0,40.498332,-122.535496
Lyon Fire,2013-09-09,2013,San Diego,263.0,09/12/13 6:15 PM,09/09/13 1:09 PM,09/12/13 6:15PM,Under Investigation,0,0,32.710918,-116.746023
Liveoak Fire,2013-09-11,2013,San Bernardino,73.0,09/12/13 8:45 AM,09/11/13 4:57 PM,09/12/13 8:45AM,Unknown,0,0,34.003151,-117.106075
Tehama Fire,2013-09-15,2013,Tehama,75.0,09/15/13 7:00 PM,09/15/13 5:39 PM,09/15/13 7:00PM,Unknown,0,0,,
Lakeshore Fire,2013-09-15,2013,Lake,30.0,09/15/13 5:14 PM,09/15/13 7:45 PM,09/15/13 5:14PM,Unknown,0,0,38.9777,-122.683
Madre Fire,2013-09-23,2013,Los Angeles,268.0,09/28/13 8:00 AM,09/23/13 6:00 PM,09/28/13 8:00AM,Unknown,0,0,34.149,-117.908
Creek Fire,2013-09-23,2013,San Luis Obispo,94.0,09/24/13 5:30 PM,09/24/13 3:20 AM,09/24/13 5:30PM,Unknown,0,0,35.4393,-120.8358
Sierra Fire,2013-09-24,2013,San Bernardino,200.0,09/30/13 8:30 AM,09/24/13 3:51 PM,09/30/13 8:30AM,Unknown,0,0,34.2,-117.417
Valley Fire,2013-09-26,2013,San Diego,40.0,09/28/13 9:15 AM,09/26/13 5:29 PM,09/28/13 9:15AM,Unknown,0,0,,
Highland Fire,2013-09-28,2013,Mendocino,98.0,09/29/13 6:15 PM,09/28/13 1:57 PM,09/29/13 6:15PM,Unknown,0,0,38.9252,-122.966
Putah Fire,2013-10-03,2013,Napa,376.0,10/04/13 4:55 PM,10/03/13 8:33 PM,10/04/13 4:55PM,Under Investigation,0,0,38.628,-122.289
Highland Fire,2013-10-04,2013,Alameda,150.0,10/04/13 10:30 AM,10/04/13 7:35 AM,10/04/13 10:30AM,Unknown,0,0,,
Crane Fire,2013-10-04,2013,Sonoma,159.0,10/05/13 7:45 AM,10/04/13 12:25 PM,10/05/13 7:45AM,Unknown,0,0,38.34599,-122.6503
Summit Fire,2013-10-04,2013,Butte,305.0,10/05/13 10:00 PM,10/04/13 5:37 PM,10/05/13 10:00PM,Under Investigation,4,0,39.439,-121.497
DeLuz Fire,2013-10-05,2013,San Diego,2236.0,10/09/13 7:00 PM,10/05/13 12:45 PM,10/09/13 7:00PM,Unknown,0,0,33.341,-117.3092
Baker Fire,2013-10-06,2013,Orange,40.0,10/09/13 8:00 AM,10/06/13 10:52 AM,10/09/13 8:00AM,Unknown,0,0,33.7655,-117.6649
Capay Fire,2013-11-04,2013,Yolo,163.0,11/04/13 3:35 PM,11/04/13 11:41 AM,11/04/13 3:35PM,Unknown,0,0,38.67479,-122.08725
Dersch Fire,2013-11-07,2013,Shasta,33.0,11/07/13 7:45 PM,11/07/13 4:10 PM,11/07/13 7:45PM,Unknown,0,0,40.483662,-122.140914
Toro Fire,2013-11-08,2013,San Luis Obispo,51.0,11/09/13 5:00 PM,11/08/13 10:30 AM,11/09/13 5:00PM,Unknown,0,0,35.457978,-120.751555
Cantwell Fire,2013-11-08,2013,Lake,120.0,11/10/13 6:30 PM,11/08/13 1:42 PM,11/10/13 6:30PM,Under Investigation,0,0,38.882214,-122.567525
Wheeler Fire,2013-11-14,2013,Ventura,64.0,11/15/13 4:00 PM,11/14/13 11:05 AM,11/15/13 4:00PM,Unknown,0,0,34.384,-119.13249
Silverado Fire,2013-11-21,2013,Napa,190.0,11/23/13 6:30 PM,11/21/13 9:39 PM,11/23/13 6:30PM,Under Investigation,0,0,38.382,-122.311
McCabe Fire,2013-11-21,2013,Sonoma,3505.0,11/27/13 6:15 PM,11/22/13 2:04 AM,11/27/13 6:15PM,Under Investigation,0,0,38.8167,-122.8498
Retek Fire,2013-11-22,2013,Mendocino,82.0,11/22/13 5:30 PM,11/22/13 10:06 AM,11/22/13 5:30PM,Unknown,0,0,39.0442,-123.1478
Bruner Fire,2013-11-23,2013,Lake,50.0,11/24/13 8:45 AM,11/23/13 12:04 PM,11/24/13 8:45AM,Unknown,0,0,39.0448,-122.7656
Dam Fire,2013-11-23,2013,Lake,23.0,11/24/13 6:45 PM,11/23/13 2:17 PM,11/24/13 6:45PM,Unknown,0,0,38.9289,-122.5818
Happy Camp Fire,2013-12-09,2013,Ventura,44.0,12/11/13 5:30 PM,12/10/13 2:26 AM,12/11/13 5:30PM,Unknown,0,0,,
Pfeiffer Fire,2013-12-15,2013,Monterey,917.0,12/20/13 8:00 PM,12/16/13 12:20 AM,12/20/13 8:00PM,Unknown,0,0,,
Refuse Fire,2013-12-30,2013,Mendocino,15.0,12/30/13 8:30 PM,12/30/13 11:00 AM,12/30/13 8:30PM,Unknown,0,0,,
Grant Fire,2013-12-30,2013,Santa Clara,40.0,12/31/13 4:00 PM,12/31/13 5:30 AM,12/31/13 4:00PM,Unknown,0,0,37.342186,-121.717706
Honcut Fire,2014-01-01,2014,Butte,60.0,01/02/14 7:30 AM,01/01/14 10:46 AM,01/02/14 7:30AM,Unknown,0,0,,
Campbell Fire,2014-01-02,2014,Tehama,865.0,01/10/14 6:30 PM,01/02/14 8:00 PM,01/10/14 6:30PM,Unknown,0,0,40.134597,-121.790183
Bridge Fire,2014-01-03,2014,Humboldt,18.0,01/04/14 6:30 PM,01/03/14 10:30 AM,01/04/14 6:30PM,Unknown,0,0,,
